"시도별","품목별",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"전국","포도",67.740,75.396,91.033,99.055,85.522,90.361,92.895,86.579,96.495,105.492,111.468,111.848,91.085,79.165,78.584,90.048,95.093,92.485,100.00,112.69,132.07
"전국","밤",76.476,91.926,106.518,67.642,62.602,66.374,60.703,64.671,63.177,73.168,101.687,106.390,79.336,80.374,95.060,97.254,87.167,84.822,100.00,108.76,99.24
"전국","감",60.835,57.920,69.538,85.920,65.732,86.664,68.832,76.233,75.941,88.421,99.013,86.669,85.905,73.434,71.879,84.497,96.648,95.649,100.00,119.44,123.53
"전국","귤",60.963,45.994,61.594,77.164,60.969,78.900,48.917,67.485,65.108,76.971,98.345,78.079,81.597,72.294,77.997,138.988,116.258,106.146,100.00,104.02,121.53
"전국","오렌지",98.235,88.163,89.016,86.298,86.794,93.935,90.455,116.062,110.988,105.114,102.102,90.873,106.562,105.858,98.154,108.372,103.655,87.377,100.00,100.08,123.32
"전국","참외",81.343,92.593,95.266,90.025,98.413,106.470,105.262,106.304,127.727,141.310,133.602,107.442,95.960,99.820,92.330,93.335,104.852,95.711,100.00,112.19,118.18
"전국","수박",54.592,59.145,77.390,72.507,81.552,81.274,73.728,67.812,91.449,114.335,119.505,121.156,98.673,87.358,92.302,105.449,118.786,108.397,100.00,121.29,133.63
"전국","딸기",71.528,71.042,73.913,77.907,85.173,95.945,86.432,88.705,105.132,106.297,121.081,95.092,99.106,108.354,99.232,98.311,109.790,88.521,100.00,100.21,114.57
"전국","바나나",60.310,58.146,56.544,56.768,57.142,56.045,61.343,76.374,69.393,67.734,68.304,84.763,86.443,89.100,100.259,96.931,94.971,96.253,100.00,101.41,113.60
"전국","키위",-,-,-,96.714,88.977,87.970,84.730,91.653,95.352,99.150,105.157,100.054,108.007,102.590,92.625,95.310,94.576,96.464,100.00,106.64,118.33
"전국","블루베리",-,-,-,-,-,-,-,-,-,-,-,-,-,102.686,99.158,99.513,99.162,93.440,100.00,108.09,128.42
"전국","망고",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,108.99,119.63
"전국","체리",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,95.39,113.07
"전국","아보카도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,87.60,101.57
"전국","파인애플",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,109.25,121.97
"전국","아몬드",-,-,-,-,-,-,-,-,-,-,-,-,-,114.258,111.911,105.959,105.137,102.256,100.00,98.39,99.05
"전국","(농산물)기타농산물",37.567,41.318,47.266,46.137,46.599,48.544,47.472,50.878,57.457,76.795,98.614,84.833,78.018,80.853,80.016,83.467,101.602,100.937,100.00,112.99,109.87
"전국","고춧가루",34.344,36.568,43.316,41.695,42.383,45.305,44.138,47.897,50.492,76.056,105.196,83.462,71.224,75.272,72.291,77.920,103.606,101.664,100.00,119.07,106.70
"전국","참깨",50.585,56.599,69.961,65.808,67.300,67.701,73.974,84.432,84.443,87.624,89.967,91.086,90.912,92.500,92.232,92.738,96.353,99.331,100.00,101.39,111.02
"전국","인삼",63.518,78.355,79.110,80.597,81.215,71.611,67.474,67.575,67.307,84.128,96.742,98.045,105.107,103.450,101.181,100.353,103.943,102.831,100.00,96.06,94.80
"전국","화초",43.362,45.295,46.484,48.754,52.727,55.286,55.668,58.654,66.176,66.959,71.872,72.673,77.807,78.117,85.829,86.379,97.330,98.361,100.00,108.52,125.94
"전국","축산물",49.144,52.422,60.280,63.566,64.350,62.506,68.719,74.827,75.624,83.428,77.219,76.532,83.792,86.860,90.680,96.570,93.220,93.184,100.00,112.65,119.45
"전국","국산쇠고기",49.384,54.798,57.891,58.750,63.680,62.466,62.378,68.908,76.147,68.773,67.256,67.928,72.110,77.402,88.699,88.026,90.200,92.363,100.00,108.90,110.43
"전국","수입쇠고기",51.780,57.893,64.874,69.912,69.306,65.665,67.535,67.692,69.230,77.297,76.783,77.755,86.064,89.144,91.109,93.443,94.943,98.312,100.00,108.13,127.94
"전국","돼지고기",46.325,47.554,59.863,63.445,64.296,61.388,71.930,78.121,73.382,93.981,81.230,75.940,88.027,91.251,91.841,97.522,93.981,90.311,100.00,111.11,120.09
"전국","닭고기",59.951,55.436,72.109,76.366,71.452,68.811,83.818,100.372,102.485,107.404,104.149,109.500,105.992,103.743,100.290,105.260,102.857,104.250,100.00,107.67,122.54
"전국","달걀",48.500,48.493,61.555,68.949,60.180,61.921,75.471,80.774,77.218,91.348,86.193,92.254,99.785,97.172,88.886,127.685,91.820,92.068,100.00,141.29,135.59
"전국","꿀",54.663,56.108,59.935,78.268,73.631,72.183,75.144,76.761,77.192,83.348,84.217,85.512,84.704,84.890,86.797,95.549,97.644,100.178,100.00,102.01,105.23
"전국","수산물",50.488,51.668,53.184,53.919,54.319,54.404,57.338,64.068,71.282,77.358,79.304,80.373,81.974,82.800,85.167,90.931,93.811,93.942,100.00,101.44,104.93
"전국","갈치",54.744,53.931,52.124,51.914,50.950,53.368,55.336,65.083,75.600,83.639,95.798,95.775,94.751,100.292,109.479,106.975,95.558,93.438,100.00,101.29,100.28
"전국","명태",64.066,78.235,70.457,66.194,63.282,62.703,61.402,84.180,94.604,88.107,75.580,74.912,78.660,83.015,85.523,87.992,88.276,90.259,100.00,96.56,103.06
"전국","조기",60.599,61.257,62.414,62.001,61.247,64.212,78.235,85.494,88.018,96.270,100.789,104.957,105.781,105.029,105.056,102.880,102.259,100.142,100.00,99.16,100.68
"전국","고등어",56.655,54.728,68.055,56.727,62.782,61.530,66.913,75.412,81.216,102.258,91.538,89.607,93.913,94.027,90.773,90.629,91.643,88.669,100.00,104.97,109.22
"전국","오징어",24.354,25.298,29.867,32.807,31.296,26.572,25.721,29.770,39.886,51.478,49.205,46.250,46.489,46.976,48.693,72.975,88.207,89.561,100.00,100.12,102.94
"전국","게",-,-,-,-,-,-,-,-,70.202,66.997,67.125,67.451,67.021,69.014,87.709,87.483,92.857,95.664,100.00,99.40,95.50
"전국","굴",49.347,47.059,53.355,55.634,58.671,57.572,58.430,73.087,74.338,79.181,81.515,78.392,83.649,87.930,94.054,94.199,91.657,93.348,100.00,108.80,120.24
"전국","조개",46.275,50.510,50.261,50.631,50.863,51.129,51.618,54.513,62.623,63.181,73.243,80.265,81.146,81.589,87.007,91.469,93.267,93.937,100.00,110.23,116.27
"전국","전복",-,-,-,-,-,-,-,-,134.353,131.509,146.580,136.586,133.661,126.736,117.505,114.353,106.524,100.723,100.00,94.37,100.83
"전국","새우",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,99.56,104.59
"전국","마른멸치",61.618,55.248,54.296,68.131,69.301,68.988,68.943,72.310,83.465,84.919,83.987,91.042,94.311,91.373,89.498,93.516,94.385,97.564,100.00,98.67,101.61
"전국","마른오징어",23.147,23.857,24.765,28.153,30.495,28.263,26.503,27.841,33.982,46.739,49.588,49.132,47.564,47.110,47.494,64.617,84.163,96.548,100.00,99.49,102.77
"전국","낙지",-,-,-,-,-,-,-,-,-,-,-,-,-,77.359,76.166,78.697,102.499,101.264,100.00,99.07,104.38
"전국","김",44.664,45.095,45.345,46.456,47.149,47.873,50.680,52.147,53.986,56.757,59.893,64.087,68.009,68.728,73.957,88.658,95.721,97.472,100.00,98.93,102.60
"전국","미역",40.154,40.444,40.704,41.537,43.701,45.778,52.477,58.106,58.504,63.756,81.043,89.631,91.908,93.724,94.066,94.833,97.913,98.442,100.00,104.88,113.31
"전국","공업제품",69.126,70.756,72.606,75.297,76.815,78.265,84.394,86.515,89.243,93.639,96.279,97.143,98.418,98.202,97.723,99.128,100.385,100.224,100.00,102.29,109.33
"전국","가공식품",54.854,56.409,59.291,62.324,63.196,65.014,71.890,77.830,78.806,83.291,87.159,89.751,93.042,94.264,94.719,95.422,96.683,98.640,100.00,102.08,110.02
"전국","밀가루",46.080,52.109,57.473,60.638,62.316,67.962,108.732,99.357,84.945,89.419,90.112,98.983,101.473,100.573,99.484,98.352,99.398,101.074,100.00,100.67,128.83
"전국","국수",50.049,54.821,59.173,61.702,62.005,68.737,98.058,99.621,97.869,104.737,107.413,108.723,107.904,104.391,103.271,99.878,99.155,97.409,100.00,111.11,144.99
"전국","라면",59.430,63.239,67.157,72.214,72.220,76.800,87.680,89.894,88.618,88.315,94.881,95.367,95.444,95.443,94.842,99.998,100.321,100.204,100.00,103.14,113.25
"전국","당면",52.691,52.579,53.338,54.036,55.630,60.994,71.622,75.977,76.740,91.412,94.081,94.559,95.202,95.289,95.601,95.770,97.492,99.550,100.00,102.34,115.62
"전국","두부",52.828,52.927,57.229,58.647,58.652,61.221,71.110,73.988,74.984,89.406,90.768,96.588,97.112,96.972,98.547,96.154,96.077,97.823,100.00,106.10,111.49
"전국","시리얼",67.276,67.838,71.165,78.416,82.703,87.232,92.924,101.224,102.653,108.804,111.125,105.419,101.663,106.189,105.521,100.590,98.464,99.660,100.00,100.08,117.64
"전국","부침가루",40.659,44.072,46.961,49.093,48.463,52.628,86.405,92.750,86.590,95.747,100.823,99.233,100.444,100.697,97.485,99.966,98.643,98.395,100.00,104.61,132.17
"전국","케이크",61.756,61.922,63.685,65.718,67.021,67.021,68.768,71.917,71.954,75.378,77.070,77.294,81.854,83.428,87.041,92.774,95.564,98.285,100.00,102.37,111.34
"전국","빵",51.828,51.844,52.222,52.650,52.790,53.325,60.429,64.215,65.230,69.442,72.246,77.474,82.160,83.079,86.219,87.894,93.488,98.061,100.00,105.51,117.94
"전국","떡",61.745,62.108,67.009,67.817,68.302,68.924,73.705,76.870,78.198,81.750,83.810,85.572,86.886,87.481,87.837,88.335,91.264,98.242,100.00,105.12,110.65
"전국","파스타면",-,-,-,-,-,-,-,-,-,-,-,-,-,97.061,92.784,92.595,92.994,93.582,100.00,105.25,113.85
"전국","소시지",52.854,58.374,61.481,66.926,66.234,66.413,69.797,80.029,80.108,88.532,89.974,85.874,91.944,98.378,98.606,96.604,95.639,95.239,100.00,101.61,108.04
"전국","햄및베이컨",-,-,-,77.028,77.432,77.394,79.865,88.820,89.466,96.241,98.141,97.011,101.911,103.669,99.366,95.761,97.246,95.668,100.00,104.61,113.53
"전국","기타육류가공품",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,101.15,112.34
"전국","오징어채",32.566,33.757,35.703,38.018,37.948,37.533,38.632,41.357,49.123,69.220,71.602,69.504,70.856,70.100,73.179,83.087,98.430,100.279,100.00,97.54,97.37
"전국","북어채",44.585,45.937,46.529,47.569,49.063,50.229,53.750,73.042,83.996,84.144,82.042,82.263,86.428,87.045,88.267,90.989,90.916,96.220,100.00,100.48,109.55
"전국","어묵",51.260,52.184,52.274,52.275,52.815,52.710,63.587,70.931,70.491,71.342,78.586,83.264,84.037,84.482,83.514,81.986,88.982,97.103,100.00,102.15,111.21
"전국","맛살",67.385,69.431,71.172,71.609,72.803,72.910,83.496,91.057,90.600,91.582,93.778,94.672,94.639,93.738,95.276,95.372,95.565,99.158,100.00,100.93,112.47
"전국","수산물통조림",44.353,44.678,48.064,51.584,53.828,56.325,64.579,74.740,75.613,78.840,85.586,90.615,91.317,90.715,89.828,92.620,96.663,97.178,100.00,102.16,106.81
"전국","젓갈",52.089,53.166,54.229,55.287,55.711,56.098,57.457,60.525,62.711,67.280,70.977,70.753,72.825,74.855,84.397,87.864,91.764,96.763,100.00,101.26,103.07
"전국","우유",41.881,42.500,47.929,55.447,57.438,57.447,65.469,77.981,77.041,78.357,84.991,88.186,94.750,94.767,94.335,93.659,95.141,99.536,100.00,101.44,107.47
"전국","분유",86.435,86.261,86.906,87.839,88.930,89.142,88.710,92.290,93.755,93.731,101.302,101.650,108.888,113.086,106.202,102.382,97.990,97.751,100.00,100.90,102.27
"전국","치즈",60.347,60.499,64.774,71.024,71.183,73.758,90.003,100.721,100.827,101.239,101.038,98.997,98.335,99.107,98.788,99.859,100.186,99.658,100.00,99.55,113.67
"전국","발효유",59.880,59.953,65.112,68.794,68.794,71.661,77.795,80.971,80.971,81.673,86.281,88.481,91.995,93.158,94.806,94.118,97.007,98.100,100.00,100.87,105.45
"전국","참기름",50.293,50.332,68.417,65.947,59.528,61.089,71.350,80.736,79.709,80.765,80.634,82.716,85.190,84.787,86.470,84.350,87.073,91.153,100.00,104.22,116.86
"전국","식용유",53.167,58.012,71.588,72.924,74.740,80.949,90.324,104.413,103.363,107.937,109.042,111.872,114.238,112.559,111.302,107.725,103.784,101.754,100.00,109.68,149.00
"전국","과일가공품",63.741,62.464,65.132,69.484,69.663,69.675,68.835,69.431,67.735,75.101,91.764,92.606,93.113,92.085,95.328,96.206,96.175,98.092,100.00,103.09,120.40
"전국","단무지",67.491,68.618,73.257,74.214,74.882,75.445,82.545,83.757,85.635,93.101,95.121,98.202,102.638,100.817,94.561,93.296,96.541,99.891,100.00,100.24,105.27
"전국","맛김",47.695,48.279,49.618,51.126,53.103,60.725,65.428,71.077,73.393,79.613,85.729,87.347,88.390,90.187,92.836,100.452,103.195,101.726,100.00,99.56,104.29
"전국","초콜릿",53.034,52.824,52.163,51.827,51.430,54.255,66.974,75.901,78.028,78.230,78.405,78.841,92.026,96.244,96.382,95.648,96.102,98.616,100.00,99.60,105.62
"전국","사탕",52.519,53.595,57.092,59.307,60.488,61.935,68.884,76.677,76.300,85.755,92.870,100.535,103.635,101.580,100.025,99.007,98.896,98.595,100.00,98.07,101.26
"전국","껌",79.560,79.532,79.315,79.389,79.627,83.285,93.341,101.623,104.970,105.451,107.803,107.761,106.577,106.142,105.089,103.174,101.438,99.399,100.00,99.34,105.40
"전국","아이스크림",62.227,60.665,59.647,61.473,62.293,61.073,69.864,77.055,77.469,84.661,88.062,89.420,96.282,100.124,99.960,97.181,96.387,98.266,100.00,98.68,105.74
"전국","비스킷",36.454,38.890,40.425,42.022,44.133,47.848,63.372,72.042,72.088,80.451,82.458,87.849,99.275,100.077,100.565,103.519,101.002,101.027,100.00,104.26,118.38
"전국","스낵과자",47.816,47.836,48.780,54.341,54.731,59.902,70.578,74.870,73.448,78.658,83.127,86.097,91.589,92.114,91.450,94.874,96.020,99.348,100.00,101.81,108.48
"전국","파이",55.581,57.461,57.108,57.046,58.372,65.440,77.500,80.827,81.005,81.221,83.908,95.138,109.704,111.888,99.511,97.149,98.329,98.912,100.00,98.57,102.67
"전국","설탕",55.898,54.368,54.287,54.652,64.412,64.953,65.300,76.485,80.821,99.140,102.615,99.292,98.921,98.533,97.999,98.344,98.902,99.683,100.00,101.85,114.45
"전국","잼",-,-,-,-,-,-,-,-,78.060,83.492,88.442,92.983,92.443,93.189,93.534,96.342,97.815,97.424,100.00,108.96,124.28
"전국","물엿",45.377,45.343,47.905,49.305,49.666,52.973,65.071,72.958,73.484,86.030,95.213,97.997,100.326,99.185,99.407,100.698,98.645,99.343,100.00,104.90,124.34
"전국","소금",42.683,43.165,50.069,50.689,50.820,51.052,53.776,58.958,59.851,76.971,95.782,95.343,96.030,97.579,97.557,97.559,97.174,97.841,100.00,113.65,139.15
"전국","간장",33.736,37.628,41.174,41.658,41.605,47.014,58.595,62.493,64.412,74.035,83.960,89.128,90.977,90.906,91.474,96.288,98.511,99.255,100.00,100.93,114.35
"전국","된장",46.655,51.462,57.173,59.189,59.376,61.112,71.616,81.359,82.913,91.701,97.498,102.472,103.988,104.870,105.820,103.291,105.061,104.768,100.00,104.16,114.66
"전국","양념소스",58.821,60.972,64.724,66.603,70.600,69.767,73.248,85.167,85.960,93.102,100.494,99.050,103.207,102.857,102.525,100.816,100.444,99.557,100.00,100.87,105.25
"전국","고추장",39.690,44.142,48.126,48.797,48.870,52.851,57.136,62.389,66.810,80.783,93.756,98.169,100.335,101.073,100.716,101.415,102.277,107.910,100.00,98.50,106.75
"전국","카레",49.526,51.549,51.685,52.740,53.100,58.204,64.741,73.963,81.611,93.057,98.465,97.787,96.796,95.052,97.289,98.137,101.009,100.889,100.00,101.24,112.84
"전국","식초",-,-,-,-,-,-,-,-,-,-,-,-,-,84.284,85.299,89.405,92.642,97.035,100.00,106.26,119.48
"전국","드레싱",48.823,52.016,58.352,60.486,61.590,66.075,75.288,82.329,82.012,93.288,94.745,95.368,96.301,94.959,96.758,98.451,99.358,99.582,100.00,107.94,118.46
"전국","혼합조미료",35.423,36.192,37.735,38.591,40.302,41.312,44.567,53.614,55.513,57.164,62.702,66.919,70.823,82.521,84.419,88.421,91.106,96.967,100.00,100.11,110.60
"전국","스프",-,-,-,-,-,-,-,-,71.674,82.738,84.543,84.813,84.960,80.412,86.835,93.413,98.703,99.711,100.00,100.94,109.12
"전국","이유식",68.702,79.305,79.049,79.047,78.961,78.757,87.240,92.950,94.012,94.255,94.499,95.457,95.928,98.969,97.386,98.899,91.736,97.821,100.00,100.00,100.15
"전국","김치",44.082,46.666,53.497,58.953,60.373,60.383,60.461,63.011,68.134,72.302,80.655,85.048,84.349,83.898,90.560,93.213,91.515,91.815,100.00,102.02,116.37
"전국","밑반찬",-,-,-,-,-,-,-,-,63.793,74.054,80.758,82.526,85.482,87.412,89.272,91.443,94.937,97.907,100.00,101.03,104.17
"전국","냉동식품",53.114,57.597,59.673,66.479,69.543,72.324,78.119,82.368,82.767,88.940,93.143,93.760,94.352,99.156,98.978,95.543,96.874,99.244,100.00,101.26,108.03
"전국","즉석식품",61.430,64.781,68.287,67.001,67.246,67.313,67.112,66.632,68.619,79.898,84.520,88.082,87.969,88.702,88.147,89.537,93.260,97.235,100.00,105.20,115.40
"전국","편의점도시락",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.765,100.00,100.58,102.65
"전국","삼각김밥",-,-,-,-,-,-,-,-,82.887,85.291,85.624,87.924,88.302,88.167,87.627,88.467,92.394,96.684,100.00,101.80,103.15
"전국","커피",58.486,61.351,62.451,66.209,72.107,76.834,83.880,90.809,93.305,98.560,102.774,103.955,102.978,104.659,105.097,99.259,100.116,100.767,100.00,100.78,109.62
"전국","차",77.085,78.268,79.246,80.191,80.800,81.428,87.154,89.720,89.942,92.864,97.408,97.564,99.532,101.392,98.740,99.301,97.834,98.266,100.00,96.53,104.85
"전국","주스",62.290,62.510,65.147,66.288,66.581,71.779,81.082,89.810,93.236,102.297,106.903,107.338,106.137,104.896,103.903,103.108,101.674,101.516,100.00,102.11,108.69
"전국","두유",45.438,49.337,51.676,57.249,59.615,60.426,69.144,78.884,79.089,79.207,81.652,87.458,88.183,88.292,87.943,90.252,96.194,99.234,100.00,105.36,111.00
"전국","생수",74.876,74.682,74.558,74.726,74.832,78.930,79.714,80.605,79.814,85.447,90.775,90.135,90.238,90.766,90.688,90.809,94.570,99.412,100.00,99.94,101.94
"전국","기능성음료",68.628,70.207,70.486,72.751,73.672,73.666,74.090,83.304,87.135,89.008,89.780,90.296,90.573,96.209,98.663,98.411,98.895,99.303,100.00,100.94,108.23
"전국","탄산음료",41.015,43.144,45.429,48.247,49.514,51.246,55.391,60.759,63.388,69.411,74.473,78.843,84.330,90.371,89.952,94.172,94.475,95.432,100.00,105.22,111.98
"전국","기타음료",58.038,57.636,58.547,59.979,60.584,62.028,65.236,70.543,74.699,78.503,81.174,86.849,89.532,90.634,91.973,92.828,95.289,100.123,100.00,103.81,110.31
"전국","소주",59.894,63.581,67.878,69.342,69.539,71.995,73.526,78.530,77.980,76.453,76.252,82.194,82.222,83.022,88.332,93.292,94.108,97.525,100.00,100.58,108.22
"전국","과실주",95.622,95.895,96.160,96.779,98.045,98.037,98.586,97.005,98.505,98.127,97.207,103.016,101.251,101.949,101.144,97.245,99.184,100.048,100.00,98.26,97.21
"전국","맥주",76.628,80.907,81.012,82.192,79.583,79.042,81.001,83.884,86.046,86.104,87.832,90.798,91.179,91.757,92.454,98.195,98.591,99.758,100.00,100.17,105.65
"전국","막걸리",85.577,85.420,85.347,85.289,86.683,90.925,91.678,92.446,91.758,92.263,91.589,92.408,92.437,93.099,94.783,97.503,98.982,99.431,100.00,112.75,120.89
