시도별,품목별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,배,62.15,63.254,81.719,72.682,63.268,76.068,58.234,58.107,74.506,89.629,100.161,117.522,87.401,81.382,87.084,80.921,79.64,101.995,100,134.34
전국,복숭아,66.39,70.241,80.375,87.858,90.238,95.181,89.96,83.801,95.166,121.067,119.856,124.335,116.626,98.89,99.801,101.136,100.395,99.781,100,123.45
전국,포도,67.74,75.396,91.033,99.055,85.522,90.361,92.895,86.579,96.495,105.492,111.468,111.848,91.085,79.165,78.584,90.048,95.093,92.485,100,112.69
전국,밤,76.476,91.926,106.518,67.642,62.602,66.374,60.703,64.671,63.177,73.168,101.687,106.39,79.336,80.374,95.06,97.254,87.167,84.822,100,108.76
전국,감,60.835,57.92,69.538,85.92,65.732,86.664,68.832,76.233,75.941,88.421,99.013,86.669,85.905,73.434,71.879,84.497,96.648,95.649,100,119.44
전국,귤,60.963,45.994,61.594,77.164,60.969,78.9,48.917,67.485,65.108,76.971,98.345,78.079,81.597,72.294,77.997,138.988,116.258,106.146,100,104.02
전국,오렌지,98.235,88.163,89.016,86.298,86.794,93.935,90.455,116.062,110.988,105.114,102.102,90.873,106.562,105.858,98.154,108.372,103.655,87.377,100,100.08
전국,참외,81.343,92.593,95.266,90.025,98.413,106.47,105.262,106.304,127.727,141.31,133.602,107.442,95.96,99.82,92.33,93.335,104.852,95.711,100,112.19
전국,수박,54.592,59.145,77.39,72.507,81.552,81.274,73.728,67.812,91.449,114.335,119.505,121.156,98.673,87.358,92.302,105.449,118.786,108.397,100,121.29
전국,딸기,71.528,71.042,73.913,77.907,85.173,95.945,86.432,88.705,105.132,106.297,121.081,95.092,99.106,108.354,99.232,98.311,109.79,88.521,100,100.21
전국,바나나,60.31,58.146,56.544,56.768,57.142,56.045,61.343,76.374,69.393,67.734,68.304,84.763,86.443,89.1,100.259,96.931,94.971,96.253,100,101.41
전국,(농산물)기타농산물,37.567,41.318,47.266,46.137,46.599,48.544,47.472,50.878,57.457,76.795,98.614,84.833,78.018,80.853,80.016,83.467,101.602,100.937,100,112.99
전국,고춧가루,34.344,36.568,43.316,41.695,42.383,45.305,44.138,47.897,50.492,76.056,105.196,83.462,71.224,75.272,72.291,77.92,103.606,101.664,100,119.07
전국,참깨,50.585,56.599,69.961,65.808,67.3,67.701,73.974,84.432,84.443,87.624,89.967,91.086,90.912,92.5,92.232,92.738,96.353,99.331,100,101.39
전국,인삼,63.518,78.355,79.11,80.597,81.215,71.611,67.474,67.575,67.307,84.128,96.742,98.045,105.107,103.45,101.181,100.353,103.943,102.831,100,96.06
전국,화초,43.362,45.295,46.484,48.754,52.727,55.286,55.668,58.654,66.176,66.959,71.872,72.673,77.807,78.117,85.829,86.379,97.33,98.361,100,108.52
전국,축산물,49.144,52.422,60.28,63.566,64.35,62.506,68.719,74.827,75.624,83.428,77.219,76.532,83.792,86.86,90.68,96.57,93.22,93.184,100,112.65
전국,국산쇠고기,49.384,54.798,57.891,58.75,63.68,62.466,62.378,68.908,76.147,68.773,67.256,67.928,72.11,77.402,88.699,88.026,90.2,92.363,100,108.9
전국,수입쇠고기,51.78,57.893,64.874,69.912,69.306,65.665,67.535,67.692,69.23,77.297,76.783,77.755,86.064,89.144,91.109,93.443,94.943,98.312,100,108.13
전국,돼지고기,46.325,47.554,59.863,63.445,64.296,61.388,71.93,78.121,73.382,93.981,81.23,75.94,88.027,91.251,91.841,97.522,93.981,90.311,100,111.11
전국,닭고기,59.951,55.436,72.109,76.366,71.452,68.811,83.818,100.372,102.485,107.404,104.149,109.5,105.992,103.743,100.29,105.26,102.857,104.25,100,107.67
전국,달걀,48.5,48.493,61.555,68.949,60.18,61.921,75.471,80.774,77.218,91.348,86.193,92.254,99.785,97.172,88.886,127.685,91.82,92.068,100,141.29
전국,꿀,54.663,56.108,59.935,78.268,73.631,72.183,75.144,76.761,77.192,83.348,84.217,85.512,84.704,84.89,86.797,95.549,97.644,100.178,100,102.01
전국,수산물,50.488,51.668,53.184,53.919,54.319,54.404,57.338,64.068,71.282,77.358,79.304,80.373,81.974,82.8,85.167,90.931,93.811,93.942,100,101.44
전국,갈치,54.744,53.931,52.124,51.914,50.95,53.368,55.336,65.083,75.6,83.639,95.798,95.775,94.751,100.292,109.479,106.975,95.558,93.438,100,101.29
전국,명태,64.066,78.235,70.457,66.194,63.282,62.703,61.402,84.18,94.604,88.107,75.58,74.912,78.66,83.015,85.523,87.992,88.276,90.259,100,96.56
전국,조기,60.599,61.257,62.414,62.001,61.247,64.212,78.235,85.494,88.018,96.27,100.789,104.957,105.781,105.029,105.056,102.88,102.259,100.142,100,99.16
전국,고등어,56.655,54.728,68.055,56.727,62.782,61.53,66.913,75.412,81.216,102.258,91.538,89.607,93.913,94.027,90.773,90.629,91.643,88.669,100,104.97
전국,오징어,24.354,25.298,29.867,32.807,31.296,26.572,25.721,29.77,39.886,51.478,49.205,46.25,46.489,46.976,48.693,72.975,88.207,89.561,100,100.12
전국,굴,49.347,47.059,53.355,55.634,58.671,57.572,58.43,73.087,74.338,79.181,81.515,78.392,83.649,87.93,94.054,94.199,91.657,93.348,100,108.8
전국,조개,46.275,50.51,50.261,50.631,50.863,51.129,51.618,54.513,62.623,63.181,73.243,80.265,81.146,81.589,87.007,91.469,93.267,93.937,100,110.23
전국,마른멸치,61.618,55.248,54.296,68.131,69.301,68.988,68.943,72.31,83.465,84.919,83.987,91.042,94.311,91.373,89.498,93.516,94.385,97.564,100,98.67
전국,마른오징어,23.147,23.857,24.765,28.153,30.495,28.263,26.503,27.841,33.982,46.739,49.588,49.132,47.564,47.11,47.494,64.617,84.163,96.548,100,99.49
전국,김,44.664,45.095,45.345,46.456,47.149,47.873,50.68,52.147,53.986,56.757,59.893,64.087,68.009,68.728,73.957,88.658,95.721,97.472,100,98.93
전국,미역,40.154,40.444,40.704,41.537,43.701,45.778,52.477,58.106,58.504,63.756,81.043,89.631,91.908,93.724,94.066,94.833,97.913,98.442,100,104.88
전국,공업제품,69.126,70.756,72.606,75.297,76.815,78.265,84.394,86.515,89.243,93.639,96.279,97.143,98.418,98.202,97.723,99.128,100.385,100.224,100,102.29
전국,가공식품,54.854,56.409,59.291,62.324,63.196,65.014,71.89,77.83,78.806,83.291,87.159,89.751,93.042,94.264,94.719,95.422,96.683,98.64,100,102.08
전국,밀가루,46.08,52.109,57.473,60.638,62.316,67.962,108.732,99.357,84.945,89.419,90.112,98.983,101.473,100.573,99.484,98.352,99.398,101.074,100,100.67
전국,국수,50.049,54.821,59.173,61.702,62.005,68.737,98.058,99.621,97.869,104.737,107.413,108.723,107.904,104.391,103.271,99.878,99.155,97.409,100,111.11
전국,라면,59.43,63.239,67.157,72.214,72.22,76.8,87.68,89.894,88.618,88.315,94.881,95.367,95.444,95.443,94.842,99.998,100.321,100.204,100,103.14
전국,당면,52.691,52.579,53.338,54.036,55.63,60.994,71.622,75.977,76.74,91.412,94.081,94.559,95.202,95.289,95.601,95.77,97.492,99.55,100,102.34
전국,두부,52.828,52.927,57.229,58.647,58.652,61.221,71.11,73.988,74.984,89.406,90.768,96.588,97.112,96.972,98.547,96.154,96.077,97.823,100,106.1
전국,시리얼,67.276,67.838,71.165,78.416,82.703,87.232,92.924,101.224,102.653,108.804,111.125,105.419,101.663,106.189,105.521,100.59,98.464,99.66,100,100.08
전국,부침가루,40.659,44.072,46.961,49.093,48.463,52.628,86.405,92.75,86.59,95.747,100.823,99.233,100.444,100.697,97.485,99.966,98.643,98.395,100,104.61
전국,케이크,61.756,61.922,63.685,65.718,67.021,67.021,68.768,71.917,71.954,75.378,77.07,77.294,81.854,83.428,87.041,92.774,95.564,98.285,100,102.37
전국,빵,51.828,51.844,52.222,52.65,52.79,53.325,60.429,64.215,65.23,69.442,72.246,77.474,82.16,83.079,86.219,87.894,93.488,98.061,100,105.51
전국,떡,61.745,62.108,67.009,67.817,68.302,68.924,73.705,76.87,78.198,81.75,83.81,85.572,86.886,87.481,87.837,88.335,91.264,98.242,100,105.12
전국,소시지,52.854,58.374,61.481,66.926,66.234,66.413,69.797,80.029,80.108,88.532,89.974,85.874,91.944,98.378,98.606,96.604,95.639,95.239,100,101.61
전국,오징어채,32.566,33.757,35.703,38.018,37.948,37.533,38.632,41.357,49.123,69.22,71.602,69.504,70.856,70.1,73.179,83.087,98.43,100.279,100,97.54
전국,북어채,44.585,45.937,46.529,47.569,49.063,50.229,53.75,73.042,83.996,84.144,82.042,82.263,86.428,87.045,88.267,90.989,90.916,96.22,100,100.48
전국,어묵,51.26,52.184,52.274,52.275,52.815,52.71,63.587,70.931,70.491,71.342,78.586,83.264,84.037,84.482,83.514,81.986,88.982,97.103,100,102.15
전국,맛살,67.385,69.431,71.172,71.609,72.803,72.91,83.496,91.057,90.6,91.582,93.778,94.672,94.639,93.738,95.276,95.372,95.565,99.158,100,100.93
전국,수산물통조림,44.353,44.678,48.064,51.584,53.828,56.325,64.579,74.74,75.613,78.84,85.586,90.615,91.317,90.715,89.828,92.62,96.663,97.178,100,102.16
전국,젓갈,52.089,53.166,54.229,55.287,55.711,56.098,57.457,60.525,62.711,67.28,70.977,70.753,72.825,74.855,84.397,87.864,91.764,96.763,100,101.26
전국,우유,41.881,42.5,47.929,55.447,57.438,57.447,65.469,77.981,77.041,78.357,84.991,88.186,94.75,94.767,94.335,93.659,95.141,99.536,100,101.44
전국,분유,86.435,86.261,86.906,87.839,88.93,89.142,88.71,92.29,93.755,93.731,101.302,101.65,108.888,113.086,106.202,102.382,97.99,97.751,100,100.9
전국,치즈,60.347,60.499,64.774,71.024,71.183,73.758,90.003,100.721,100.827,101.239,101.038,98.997,98.335,99.107,98.788,99.859,100.186,99.658,100,99.55
전국,발효유,59.88,59.953,65.112,68.794,68.794,71.661,77.795,80.971,80.971,81.673,86.281,88.481,91.995,93.158,94.806,94.118,97.007,98.1,100,100.87
전국,참기름,50.293,50.332,68.417,65.947,59.528,61.089,71.35,80.736,79.709,80.765,80.634,82.716,85.19,84.787,86.47,84.35,87.073,91.153,100,104.22
전국,식용유,53.167,58.012,71.588,72.924,74.74,80.949,90.324,104.413,103.363,107.937,109.042,111.872,114.238,112.559,111.302,107.725,103.784,101.754,100,109.68
